Tackles,,,,,Challenges,,,,Blocks,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
131,Craig Dawson,eng ENG,DF,Wolves,33-347,1990,24.5,30,20,23,6,1,22,34,64.7,12,51,39,12,16,46,120,1,Matches
132,Kevin De Bruyne,be BEL,MF,Manchester City,32-294,1991,8.4,8,6,1,4,3,4,12,33.3,8,4,0,4,2,10,3,0,Matches
133,Hannes Delcroix,be BEL,DF,Burnley,25-049,1999,6.5,10,6,6,4,0,3,4,75,1,9,3,6,9,19,26,0,Matches
134,Leander Dendoncker,be BEL,MF,Aston Villa,29-002,1995,1.3,6,4,3,2,1,4,5,80,1,5,2,3,2,8,3,1,Matches
135,Moussa Diaby,fr FRA,"FW,MF",Aston Villa,24-285,1999,19.8,11,5,4,4,3,4,16,25,12,8,1,7,6,17,4,0,Matches
136,Amad Diallo,ci CIV,FW,Manchester Utd,21-281,2002,1,3,1,0,2,1,1,1,100,0,1,0,1,0,3,0,0,Matches
137,Amadou Diallo,eng ENG,MF,Newcastle Utd,21-062,2003,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
138,Rúben Dias,pt POR,DF,Manchester City,26-339,1997,25.4,36,18,13,20,3,18,25,72,7,30,16,14,25,61,73,0,Matches
139,Luis Díaz,co COL,FW,Liverpool,27-095,1997,24.1,26,20,4,11,11,6,27,22.2,21,14,0,14,3,29,8,0,Matches
140,Eric Dier,eng ENG,DF,Tottenham,30-093,1994,2.2,2,1,2,0,0,2,2,100,0,3,3,0,2,4,12,0,Matches
141,Lucas Digne,fr FRA,DF,Aston Villa,30-272,1993,21.8,36,17,26,9,1,20,35,57.1,15,14,1,13,24,60,53,0,Matches
142,Issa Diop,fr FRA,DF,Fulham,27-099,1997,12.8,23,12,17,5,1,11,16,68.8,5,20,14,6,12,35,63,1,Matches
143,Axel Disasi,fr FRA,DF,Chelsea,26-037,1998,27.6,31,18,18,10,3,21,28,75,7,26,19,7,17,48,97,2,Matches
144,Ben Doak,sct SCO,FW,Liverpool,18-158,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
