Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP,Matches
102,Tahith Chong,nl NED,MF,Luton Town,24-135,1999,17.3,330,420,78.6,5129,1362,176,203,86.7,110,135,81.5,27,42,64.3,0,0.5,1.3,-0.5,9,28,16,8,57,Matches
103,Ryan Christie,sct SCO,MF,Bournemouth,29-055,1995,27.3,837,1113,75.2,15898,4297,336,390,86.2,366,448,81.7,119,214,55.6,4,4.6,4.6,-0.6,39,106,34,6,142,Matches
104,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,20-180,2003,2.5,115,134,85.8,1476,266,82,88,93.2,26,31,83.9,4,5,80,1,0.3,0.3,0.7,4,4,6,0,12,Matches
105,Bobby Clark,eng ENG,MF,Liverpool,19-070,2005,1,38,49,77.6,465,64,23,29,79.3,11,12,91.7,1,2,50,0,0,0,0,0,3,0,0,3,Matches
106,Jordan Clark,eng ENG,MF,Luton Town,30-208,1993,11.5,300,413,72.6,4959,1381,145,185,78.4,105,132,79.5,30,55,54.5,1,0.9,0.9,0.1,8,16,12,3,37,Matches
107,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-012,1991,9,283,356,79.5,4265,1787,155,170,91.2,105,128,82,17,31,54.8,0,0,0.1,0,1,21,2,1,18,Matches
108,Séamus Coleman,ie IRL,DF,Everton,35-189,1988,5.1,131,202,64.9,2052,894,78,96,81.3,45,63,71.4,7,30,23.3,0,1,0.7,-1,2,7,3,1,17,Matches
109,Nathan Collins,ie IRL,DF,Brentford,22-353,2001,25.5,1072,1320,81.2,19663,7257,402,459,87.6,553,636,86.9,96,177,54.2,1,1.8,1,-0.8,9,64,5,0,82,Matches
110,Levi Colwill,eng ENG,DF,Chelsea,21-051,2003,20,965,1163,83,16310,5939,444,495,89.7,456,508,89.8,51,117,43.6,1,1.2,0.5,-0.2,7,82,6,0,73,Matches
111,Lewis Cook,eng ENG,MF,Bournemouth,27-074,1997,25,914,1205,75.9,16399,5522,372,441,84.4,432,494,87.4,90,210,42.9,3,3.3,2.5,-0.3,39,118,20,4,122,Matches
112,Jack Cork,eng ENG,MF,Burnley,34-297,1989,0.2,16,24,66.7,252,39,6,9,66.7,8,8,100,1,3,33.3,0,0,0,0,0,3,0,0,2,Matches
113,Maxwel Cornet,ci CIV,"MF,FW",West Ham,27-203,1996,1.2,33,45,73.3,377,70,25,31,80.6,5,7,71.4,0,1,0,0,0.2,0,-0.2,4,0,0,0,2,Matches
114,Vladimír Coufal,cz CZE,DF,West Ham,31-239,1992,29.8,995,1449,68.7,16165,8078,514,577,89.1,389,546,71.2,70,222,31.5,7,3.2,2.4,3.8,29,90,33,18,108,Matches
115,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,31-310,1992,0.3,20,24,83.3,265,63,11,14,78.6,8,9,88.9,0,0,,0,0,0,0,0,4,0,0,5,Matches
116,Aaron Cresswell,eng ENG,"DF,FW",West Ham,34-124,1989,3.1,159,196,81.1,2681,1159,91,99,91.9,44,58,75.9,19,32,59.4,0,0.3,0.3,-0.3,4,10,2,0,21,Matches
117,Marc Cucurella,es ESP,DF,Chelsea,25-270,1998,12.8,689,800,86.1,10219,3023,393,428,91.8,258,287,89.9,23,51,45.1,1,0.5,0.5,0.5,13,32,3,1,34,Matches
118,Josh Cullen,ie IRL,MF,Burnley,28-010,1996,18,919,1079,85.2,14598,3774,496,534,92.9,350,390,89.7,53,105,50.5,2,1.5,2,0.5,19,81,14,2,92,Matches
119,Matheus Cunha,br BRA,"FW,MF",Wolves,24-326,1999,23.2,549,689,79.7,7341,1889,349,402,86.8,149,186,80.1,25,45,55.6,6,3.1,2.5,2.9,26,46,27,1,68,Matches
120,Mahmoud Dahoud,de GER,MF,Brighton,28-107,1996,5,284,328,86.6,4011,886,169,176,96,84,99,84.8,16,25,64,1,0.9,0.4,0.1,10,21,1,1,11,Matches
121,Ameen Al-Dakhil,be BEL,DF,Burnley,22-042,2002,11.7,537,637,84.3,9642,2939,208,220,94.5,280,321,87.2,42,77,54.5,0,0.1,0.6,-0.1,2,13,2,0,35,Matches
122,Diogo Dalot,pt POR,DF,Manchester Utd,25-030,1999,29.3,1220,1513,80.6,20979,6758,577,650,88.8,474,580,81.7,131,194,67.5,3,2.4,2.2,0.6,30,85,28,16,100,Matches
123,Mikkel Damsgaard,dk DEN,MF,Brentford,23-289,2000,6.3,199,293,67.9,3277,1301,99,132,75,78,99,78.8,18,40,45,2,1.2,0.6,0.8,8,35,6,1,45,Matches
